
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1681, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1681, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1693, Mo: 1900
Sen: 128, Thr: 1685, Mo: 1900
Sen: 128, Thr: 1681, Mo: 1900
Sen: 128, Thr: 1686, Mo: 1900
Sen: 128, Thr: 1692, Mo: 1900
Sen: 128, Thr: 1691, Mo: 1900
Sen: 128, Thr: 1687, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1692, Mo: 1900
Sen: 128, Thr: 1686, Mo: 1900
Sen: 128, Thr: 1677, Mo: 1900
Sen: 128, Thr: 1687, Mo: 1900
Sen: 128, Thr: 1675, Mo: 1900

Sen: 128, Thr: 1686, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1678, Mo: 1900
Sen: 128, Thr: 1680, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1681, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1681, Mo: 1900
Sen: 128, Thr: 1685, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1680, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1680, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1680, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1675, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1681, Mo: 1900
Sen: 128, Thr: 1681, Mo: 1900
Sen: 128, Thr: 1678, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1680, Mo: 1900
Sen: 128, Thr: 1681, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1680, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1675, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1686, Mo: 1900
Sen: 128, Thr: 1676, Mo: 1900
Sen: 128, Thr: 1690, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1685, Mo: 1900
Sen: 128, Thr: 1687, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1679, Mo: 1900
Sen: 128, Thr: 1687, Mo: 1900
Sen: 128, Thr: 1675, Mo: 1900
Sen: 128, Thr: 1686, Mo: 1900
Sen: 128, Thr: 1679, Mo: 1900
Sen: 128, Thr: 1689, Mo: 1900
Sen: 128, Thr: 1678, Mo: 1900
Sen: 128, Thr: 1676, Mo: 1900
Sen: 128, Thr: 1686, Mo: 1900
Sen: 128, Thr: 1681, Mo: 1900
Sen: 128, Thr: 1675, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1687, Mo: 1900
Sen: 128, Thr: 1682, Mo: 1900
Sen: 128, Thr: 1690, Mo: 1900
Sen: 128, Thr: 1680, Mo: 1900
Sen: 128, Thr: 1680, Mo: 1900
Sen: 128, Thr: 1677, Mo: 1900
Sen: 128, Thr: 1685, Mo: 1900
Sen: 128, Thr: 1679, Mo: 1900
Sen: 128, Thr: 1676, Mo: 1900
Sen: 128, Thr: 1687, Mo: 1900
Sen: 128, Thr: 1675, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1683, Mo: 1900
Sen: 128, Thr: 1681, Mo: 1900
Sen: 128, Thr: 1686, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1681, Mo: 1900
Sen: 128, Thr: 1680, Mo: 1900
Sen: 128, Thr: 1686, Mo: 1900
Sen: 128, Thr: 1678, Mo: 1900
Sen: 128, Thr: 1684, Mo: 1900
Sen: 128, Thr: 1679, Mo: 1900
Sen: 128, Thr: 1679, Mo: 1900
Sen: 128, Thr: 1675, Mo: 1900
